Collisions
13
6
8
6
4
5
2
2
13
8
4
11
6
13
6
1
7
4
4
8
7
11
5
8
5
3
6
6
10
5
8
8
5
3
6
8
4
5
4
9
9
4
5
11
4
9
3
11
8
7
9
5
4
11
7
8
6
9
6
7
6
7
8
6
7
7
6
7
6
6
8
5
5
9
4
9
5
5
6
7
5
8
5
7
9
5
6
8
8
6
8
2
10
6
4
9
4
7
8
3
4
9
8
8
8
3
5
7
6
7
5
6
8
11
6
3
7
4
9
4
8
9
3
5
8
4
7
6
3
7
5
9
8
7
10
9
6
10
6
6
9
5
5
13
5
7
8
8
6
7
11
5
11
12
9
7
6
4
7
6
7
8
5
9
2
5
7
7
10
12
9
4
9
7
6
8
7
10
4
7
5
6
8
10
10
6
12
9
3
2
10
6
7
13
7
5
3
8
5
5
5
9
9
9
4
5
4
9
8
5
6
8
5
6
5
11
9
14
8
6
10
11
4
10
10
8
6
9
7
6
6
10
7
12
12
6
2
10
6
7
10
8
5
11
6
12
4
4
6
5
6
10
14
7
9
7
2
8
5
12
2
6
3
4
5
10
11
13
5
7
8
7
5
7
7
10
7
8
9
10
9
7
6
10
4
5
4
6
5
8
4
5
4
12
4
6
11
9
5
10
